Number,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Play
1,James Harden,HOU,30,48,32,16,37.1,35.4,10.2,23.4,43.5,4.6,12.8,35.8,10.5,12,86.9,1.1,5.4,6.5,7.3,4.5,1.7,0.9,3.3,57.5,16,2,4.3,Yes
2,Giannis Antetokounmpo,MIL,25,47,40,7,30.8,30.2,11.1,20.1,55.3,1.6,5,31.3,6.4,10.5,61.2,2.4,10.9,13.4,5.8,3.6,1.1,1,3.1,57.7,42,4,10.3,Yes
3,Damian Lillard,POR,29,50,24,26,37,29.6,9.3,20.3,46.1,3.9,10,39.3,7,7.8,89,0.5,3.8,4.3,8,2.9,1,0.3,1.7,47.7,15,1,1.1,Yes
4,Trae Young,ATL,21,47,12,35,34.9,29.3,9.2,20.6,44.5,3.4,9.3,37,7.6,8.9,84.5,0.6,4,4.6,9,4.9,1.1,0.1,1.7,47.3,19,2,-4.2,Yes
5,Bradley Beal,WAS,26,42,13,29,35.6,29.2,9.9,21.7,45.5,2.6,7.9,32.6,6.8,8.1,84.7,1,3.5,4.5,6.3,3.2,1,0.4,2.2,45,7,0,-5.1,No
6,Luka Doncic,DAL,20,43,27,16,32.8,28.8,9.5,20.5,46.4,2.9,9.1,32.1,6.9,9,76.3,1.4,8.1,9.5,8.7,4.2,1,0.2,2.4,52.7,28,12,4.7,Yes
7,Kyrie Irving,BKN,27,20,8,12,32.9,27.4,10,20.8,47.8,2.8,7.1,39.4,4.7,5.1,92.2,1.1,4.1,5.2,6.4,2.6,1.4,0.5,2.7,46.1,3,1,-0.4,No
8,Kawhi Leonard,LAC,28,39,31,8,32.2,27,9.4,20.3,46.4,2.1,5.6,37.3,6.1,6.8,89.1,1.1,6.5,7.5,5.3,3.1,1.9,0.7,1.9,48.6,11,1,9.2,Yes
9,Devin Booker,PHX,23,48,20,28,36.1,26.7,9.1,18,50.6,1.9,5.3,36.2,6.6,7.2,91.6,0.5,3.6,4.1,6.3,3.9,0.8,0.2,3.1,40.2,6,0,0.8,No
10,Russell Westbrook,HOU,31,43,28,15,36,26.7,10.3,22.4,45.8,1,4.1,23.7,5.2,6.5,79,1.7,6.3,8,7.3,4.4,1.6,0.3,3.7,48.8,18,8,2.8,Yes
11,Karl-Anthony Towns,MIN,24,33,9,24,33.8,26.7,9.2,18.1,50.7,3.3,8.1,40.6,5.1,6.4,80.5,2.7,8.1,10.8,4.2,3.1,0.9,1.2,3.4,49.2,22,0,-1,No
12,Anthony Davis,LAL,26,43,33,10,34.6,26.5,9.3,17.9,51.6,1.1,3.4,31.5,6.9,8,86.4,2.1,7.1,9.2,3.3,2.4,1.5,2.4,2.5,51.9,20,0,4.6,Yes
13,LeBron James,LAL,35,48,37,11,34.9,25.1,9.6,19.5,49.1,2.1,6.1,34.6,3.8,5.4,69.3,1,6.7,7.7,10.8,3.9,1.3,0.5,1.7,52,36,11,8.5,Yes
14,Zach LaVine,CHI,24,53,19,34,34.4,24.9,8.6,19.5,44.2,2.9,7.8,37.3,4.7,5.7,82.5,0.7,4.1,4.8,4.1,3.2,1.4,0.5,2.2,39.2,2,0,-2.7,No
15,Brandon Ingram,NOP,22,47,18,29,34.1,24.9,8.5,18,47.3,2.5,6.3,40,5.3,6.1,86.2,0.9,5.5,6.4,4.2,3,1,0.7,2.8,41,8,0,-1.5,Yes
16,Donovan Mitchell,UTA,23,49,31,18,34.3,24.5,9.1,19.9,45.5,2.4,6.6,36,3.9,4.6,86.1,0.7,3.5,4.3,4.2,2.5,1.1,0.2,2.5,37.5,1,0,3.3,Yes
